Материал,Класс,Грузополучатель,reciever_lat,reciever_long
770000745530,G21050102,20000221,63.1667,75.6167
770000872776,G21050102,20000221,63.1667,75.6167
770000872285,G21050102,20000221,63.1667,75.6167
770000872318,G21050102,20000221,63.1667,75.6167
770000418030,G21050102,20000221,63.1667,75.6167
770000100340,G210502,20000221,63.1667,75.6167
770000872961,G21050102,20000221,63.1667,75.6167
770000872955,G21050102,20000221,63.1667,75.6167
770000872778,G21050102,20000221,63.1667,75.6167
770000872963,G21050102,20000221,63.1667,75.6167
770000873022,G21050102,20000221,63.1667,75.6167
770000852471,G21050102,20000221,63.1667,75.6167
770000872973,G210502,20000221,63.1667,75.6167
770000310028,G210502,20000221,63.1667,75.6167
770000875283,G21050102,20000221,63.1667,75.6167
770000875282,G21050102,20000221,63.1667,75.6167
770000875281,G21050102,20000221,63.1667,75.6167
770000872990,G210502,20000221,63.1667,75.6167
770000885009,G21050102,20000221,63.1667,75.6167
770000885232,G2106,20000221,63.1667,75.6167
1241517,G21050301,20000221,63.1667,75.6167
770000302258,G21050301,20000221,63.1667,75.6167
770000885234,G2106,20000221,63.1667,75.6167
770000312147,G2106,20000221,63.1667,75.6167
770000885235,G2106,20000221,63.1667,75.6167
770000885863,G2106,20000221,63.1667,75.6167
770000391544,G21050301,20000221,63.1667,75.6167
770000885233,G2106,20000221,63.1667,75.6167
770000323417,G21050370,20000221,63.1667,75.6167
770000885237,G2106,20000221,63.1667,75.6167
770000873118,G210502,20000221,63.1667,75.6167
770000872757,G21050102,20000221,63.1667,75.6167
770000872965,G21050102,20000221,63.1667,75.6167
770000872967,G21050102,20000221,63.1667,75.6167
770000872987,G210502,20000221,63.1667,75.6167
770000873001,G210502,20000221,63.1667,75.6167
770000216409,G2106,20000221,63.1667,75.6167
770000544261,G21050301,20000221,63.1667,75.6167
770000924856,G21050101,20000537,66.6615094,66.3810869
770000924936,G21050101,20000537,66.6615094,66.3810869
770000657931,G21050101,20000537,66.6615094,66.3810869
770000924911,G21050101,20000537,66.6615094,66.3810869
770000827518,G21050101,20000537,66.6615094,66.3810869
770000677830,G21050101,20000537,66.6615094,66.3810869
770000852476,G21050101,20000537,66.6615094,66.3810869
770000851213,G21050101,20000537,66.6615094,66.3810869
770000677824,G21050101,20000537,66.6615094,66.3810869
770000851235,G21050101,20000537,66.6615094,66.3810869
770000689944,G21050101,20000537,66.6615094,66.3810869
770000246509,G21050101,20000537,66.6615094,66.3810869
770000852520,G21050101,20000537,66.6615094,66.3810869
770000594668,G2107,20000447,52.3445327,84.4583842
770000866678,G2109,20000447,52.3445327,84.4583842
770000506126,G21050102,20000447,52.3445327,84.4583842
770000229438,G21050102,20000447,52.3445327,84.4583842
770000852471,G21050102,20000447,52.3445327,84.4583842
770000841381,G21050102,20000447,52.3445327,84.4583842
770000784517,G21050102,20000447,52.3445327,84.4583842
770000650850,G21050102,20000447,52.3445327,84.4583842
770000873323,G21050102,20000447,52.3445327,84.4583842
770000652859,G21050102,20000447,52.3445327,84.4583842
770000872806,G21050102,20000447,52.3445327,84.4583842
770000126918,G210502,20000447,52.3445327,84.4583842
770000228364,G21050102,20000447,52.3445327,84.4583842
770000872723,G21050103,20000447,52.3445327,84.4583842
770000872643,G21050103,20000447,52.3445327,84.4583842
770000872592,G21050103,20000447,52.3445327,84.4583842
770000872615,G21050103,20000447,52.3445327,84.4583842
770000283200,G210516,20000447,52.3445327,84.4583842
770000659387,G210502,20000447,52.3445327,84.4583842
770000027333,G210502,20000447,52.3445327,84.4583842
770000470281,G210502,20000447,52.3445327,84.4583842
770000479467,G210511,20000447,52.3445327,84.4583842
770000395978,G210502,20000447,52.3445327,84.4583842
1247159,G210502,20000447,52.3445327,84.4583842
770000538751,G2106,20000447,52.3445327,84.4583842
770000881833,G2106,20000447,52.3445327,84.4583842
770000355520,G21050102,8536,55.00907075000001,73.29768400924007
770000849817,G210502,20000447,52.3445327,84.4583842
770000849810,G210502,20000447,52.3445327,84.4583842
770000866558,G2109,20000447,52.3445327,84.4583842
770000583012,G210502,20000447,52.3445327,84.4583842
770000835009,G210502,20000447,52.3445327,84.4583842
770000849582,G210502,20000447,52.3445327,84.4583842
770000469960,G210502,20000447,52.3445327,84.4583842
770000583017,G210502,20000447,52.3445327,84.4583842
770000306101,G21050102,20000447,52.3445327,84.4583842
770000784520,G21050102,20000447,52.3445327,84.4583842
770000784555,G21050102,20000447,52.3445327,84.4583842
770000872749,G21050102,20000447,52.3445327,84.4583842
770000853004,G210502,20000447,52.3445327,84.4583842
1155055,G2106,20000447,52.3445327,84.4583842
