Материал,Класс,Поставщики
770000403721,G21040101,['23472']
770000403863,G210402,"['62488', '83996', '79691', '72222']"
770000403918,G210402,"['62488', '83996', '79691', '72222']"
770000403966,G21050102,"['59541', '52095', '47772']"
770000403971,G210513,"['73073', '58691', '72631', '47772', '94401']"
770000404417,G210513,"['73073', '58691', '72631', '47772', '94401']"
770000404418,G210513,"['73073', '58691', '72631', '47772', '94401']"
770000404419,G210513,"['73073', '58691', '72631', '47772', '94401']"
770000404421,G210513,"['47772', '58691', '7175100663']"
770000404422,G210513,"['47772', '58691']"
770000404427,G2107,"['61448', '47772', '58691', '95816']"
770000404570,G210404,"['68501', '7175108163', '83996']"
770000404588,G21050103,"['59541', '58691', '61448', '76925', '47772']"
770000404801,G21050101,['58691']
770000404954,G21050102,['66005']
770000404965,G21050102,"['59541', '58691', '52095', '61448', '84530', '76925', '47772']"
770000404967,G21050102,"['59541', '27645']"
770000404978,G21050102,['59541']
770000404980,G21050103,['66088']
770000405294,G21050102,"['59541', '58691', '61448', '47772', '76925', '52095', '103322']"
770000406391,G21050103,"['59541', '58691', '61448', '76925', '47772']"
770000406498,G210502,['66005']
770000406942,G21040101,"['83996', '23472', '57650']"
770000407138,G21050102,"['59541', '27645']"
770000407140,G21050102,"['59541', '27645']"
770000407187,G21050102,['59541']
770000407247,G21050102,"['61448', '52095', '58691']"
770000407254,G21050102,['58691']
770000407264,G21050102,"['58691', '27645']"
770000407282,G21050102,"['61448', '58691', '27645']"
770000407394,G210511,"['59541', '58691', '61448', '76925', '47772']"
770000407399,G21050102,['58691']
770000407702,G210502,['58691']
770000407723,G21050102,['58691']
770000408455,G210511,"['59541', '58691', '61448', '76925', '47772']"
770000408688,G2106,['60519']
770000408784,G21050102,['59541']
770000408787,G21050102,['59541']
770000409311,G2107,['61428']
770000409380,G21050301,"['27645', '69418', '39295']"
770000410270,G2106,"['73022', '100726', '68501', '55137']"
770000410623,G210502,['40661']
770000410855,G21050102,['92706']
770000410878,G21050102,"['104795', '94990', '83996', '94401', '104735']"
770000410879,G21050102,"['104795', '89499', '111892', '94990', '83996', '94401', '104735']"
770000411225,G210402,['7175106400']
770000411229,G210402,"['23472', '73073', '51983', '58060', '72631', '94990', '83996', '94401']"
770000411406,G21050101,['57650']
770000411907,G2106,"['69418', '39295']"
770000412553,G210502,['58691']
770000412693,G21050101,"['59541', '47772', '58691']"
770000412697,G21050101,"['76925', '59541', '58691', '47772']"
770000413380,G210511,"['95713', '47772', '23288']"
770000413382,G210502,"['59541', '47772']"
770000413383,G210511,"['95713', '58857', '47772', '23288', '94293']"
770000413384,G210502,"['59541', '58691', '61448', '47772', '76925', '52095']"
770000414460,G2106,"['104048', '93259']"
770000414506,G21050102,"['63104', '59541', '47772', '76120', '73082', '52095', '25890']"
770000414513,G21050102,"['52095', '58691', '66005', '40661']"
770000414664,G210502,"['63104', '59541', '60519', '47772', '76120', '72148', '52095', '25890']"
770000414957,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000415420,G2170,['70889']
770000415730,G21050102,"['86311', '59541', '58691', '60519', '47772', '76120', '52095', '25890', '66005', '40661']"
770000415732,G21050102,"['58691', '66005', '40661']"
770000415734,G21050102,"['104795', '59541', '52095', '51983', '111892', '94990', '83996', '47772', '60519', '94401', '112848']"
770000415735,G21050102,"['104143', '51983', '76925', '25890', '60519', '104795', '59541', '58691', '61448', '111892', '76120', '83996', '52095', '66005', '94990', '47772', '112848', '40661', '94401']"
770000415736,G21050102,"['104795', '59541', '51983', '111892', '94990', '83996', '47772', '94401', '112848']"
770000415737,G21050102,"['59541', '86311', '97586', '58691', '52095', '61448', '76120', '76925', '47772', '60519']"
770000415738,G21050102,"['63104', '104795', '59541', '60199', '97586', '58691', '52095', '60519', '51983', '111892', '94990', '76120', '73306', '83996', '47772', '25890', '94401', '112848']"
770000415739,G21050102,"['63104', '104795', '59541', '60519', '51983', '111892', '94990', '47772', '76120', '83996', '52095', '25890', '94401', '112848']"
770000415740,G21050102,"['104795', '59541', '52095', '51983', '111892', '94990', '76120', '83996', '47772', '60519', '94401', '112848']"
770000415741,G21050102,"['104795', '59541', '52095', '51983', '111892', '94990', '76120', '83996', '47772', '60519', '94401', '112848']"
770000415876,G21050102,"['59541', '97586', '52095', '76120', '47772', '60519']"
770000415945,G210402,"['104734', '51983', '58060', '83996', '94401', '74111', '104735']"
770000415977,G21040101,['96633']
770000416906,G210502,"['60199', '59541', '97586', '47772', '25890']"
770000417054,G210511,"['58691', '60519', '94990', '83996']"
770000417302,G210502,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000417460,G21050102,"['75290', '53891']"
770000417462,G21050102,"['101382', '94293', '51983']"
770000417658,G21050370,['69418']
770000417690,G21050103,['57650']
770000418030,G21050102,"['42594', '59541', '39265', '45145', '96344', '69975', '41736', '56191']"
770000418583,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000418628,G210502,"['59541', '58691', '1754', '61448', '47772', '76925', '52095', '103322']"
770000419540,G2110,"['102775', '83780', '48556', '52264']"
770000419541,G2110,"['67232', '52264', '83780', '48556', '26107', '73082', '78951']"
770000419863,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000420217,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000420245,G210502,"['69418', '59541', '86311', '76925', '58691', '52095', '76120', '108667', '72148', '47772', '60519', '66005']"
770000420246,G210502,"['58691', '108667', '76925', '52095', '66005', '40661']"
770000420616,G210511,"['59541', '58691', '61448', '72631', '76925', '47772', '94401', '103322']"
770000421390,G2106,"['83741', '89634', '68082', '96344', '55264']"
770000421421,G2106,['50630']
770000421551,G21050102,"['63104', '59541', '58691', '52095', '76120', '47772', '60519']"
770000421924,G21050301,"['68501', '62752', '55137']"
770000422605,G21050301,"['79691', '69418', '86060']"
770000422666,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000422765,G210402,"['62488', '7130091442']"
770000423298,G210402,"['96318', '109587', '23472', '62488', '107737', '104734', '94293', '83996', '86060', '7175108163', '94401', '104735']"
770000423299,G210402,"['96318', '109587', '23472', '62488', '104734', '7130091442', '94293', '83996', '86060', '107737', '94401', '104735']"
770000423693,G210502,['44114']
770000423748,G21050102,['71644']
770000423749,G21050102,['66005']
770000423751,G21050102,['59541']
770000423752,G21050102,['59541']
770000425122,G210502,['58691']
770000425250,G21050102,"['59541', '25365', '13769', '57650']"
770000425378,G21050101,['27645']
770000425671,G21050102,['57650']
770000425683,G210402,['7166902059']
770000425883,G21050102,"['59541', '52095', '76120', '83996', '47772', '60519']"
770000425891,G21050102,['63104']
770000426038,G21050102,"['39295', '57650']"
770000426415,G21050102,"['59541', '111892', '47772', '94401', '112848']"
770000426420,G21050102,['63379']
770000427298,G2110,"['96633', '15985']"
770000427302,G2110,['96633']
770000427503,G2109,"['52509', '68128', '68969']"
770000428555,G21050102,['58691']
770000428556,G21050102,['58691']
770000428576,G210502,['58691']
770000429373,G2106,"['63104', '86311', '59541', '60519', '72148', '47772', '25890']"
770000430411,G21050102,['40661']
770000431270,G21050102,"['106015', '72164', '103684', '71605']"
770000431276,G21040101,"['73636', '23472', '62488', '79691', '44114', '96542', '103704', '83996', '69357', '94293']"
770000431706,G21050102,"['59541', '86311', '76120', '47772', '52095', '60519']"
770000431769,G210502,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000432490,G21040101,"['68501', '62752', '53891', '73022', '75290']"
770000432639,G21050102,"['63104', '59541', '52095', '76120', '47772', '60519']"
770000432947,G21050101,['96999']
770000434143,G210502,['71644']
770000434220,G21050301,"['68501', '62752', '55137', '23288', '94293']"
770000434430,G210502,['71644']
770000434594,G210470,"['79691', '94293']"
770000434612,G210511,"['104795', '59541', '58691', '104734', '51983', '61448', '47772', '94401', '104735']"
770000434870,G21050102,"['42594', '39265', '45145', '69975', '41736']"
770000434894,G21050102,"['59541', '58691', '61448', '47772', '76925', '52095']"
770000434933,G21050102,"['59541', '58691', '61448', '76925', '47772', '103322']"
770000434950,G21050101,"['49167', '58691', '55264', '75283', '66005', '40661']"
770000434954,G210511,"['59541', '58691', '61448', '76925', '47772', '103322']"
770000435229,G2110,['61561']
770000435351,G210511,"['79691', '94293', '83996']"
770000435945,G210403,"['68501', '66912', '106382', '73419', '73073', '79691', '103684', '71605', '75136', '83996', '103704', '106190', '91364', '94293']"
770000436352,G21050102,"['79691', '73636', '47772', '94293']"
770000436518,G21050102,"['59541', '60199', '47772', '97586']"
770000437134,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000438291,G21050102,"['63104', '59541', '52095', '76120', '47772', '60519']"
770000438293,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000438296,G21050102,"['75815', '59541', '58691', '52095', '109173', '61448', '58857', '72164', '76925', '47772']"
770000438443,G210502,['47772']
770000438444,G210502,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000438446,G210502,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000438448,G210502,"['63104', '69418', '59541', '58464', '58691', '61448', '72148', '47772', '40661', '103322']"
770000438461,G210502,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000438706,G21050370,"['63104', '69418', '59541', '58464', '72148', '40661']"
770000439158,G210402,"['23472', '62488', '79691', '72222', '83996']"
770000439494,G21050102,['60519']
770000439495,G21050102,"['63104', '59541', '58691', '60519', '47772', '83996', '52095', '25890']"
770000439498,G21050102,['60519']
770000439505,G21050102,"['63104', '59541', '83996', '24446', '73082', '92706', '52095', '60519']"
770000439581,G21050102,"['63104', '59541', '60519', '47772', '76120', '52095', '25890']"
770000439769,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000439770,G21050102,"['88539', '59541', '103322', '58464', '86400', '58691', '52095', '70503', '61448', '96318', '76925', '47772', '94787', '72148']"
770000439779,G2107,"['59541', '58691', '61448', '74839', '47772', '25890']"
770000439780,G2107,"['59541', '58691', '61448', '74839', '47772', '25890', '103322']"
770000439994,G21050102,"['60519', '59541', '25890', '47772']"
770000440820,G2106,"['79691', '76338', '86060', '61011']"
770000441117,G21050101,"['59541', '58464', '58691', '83996', '104974', '73082', '76925', '47772', '54086']"
770000442166,G21050101,"['59541', '47772', '58691']"
770000442172,G21050101,"['59541', '58691', '61448', '76925', '47772']"
770000442184,G21050101,"['59541', '76925', '47772', '58691']"
770000442185,G21050101,"['59541', '76925', '47772', '58691']"
770000442322,G2106,"['76925', '69418', '66005', '84530']"
770000443240,G2106,"['74039', '58691', '58857', '94990', '60519']"
770000443260,G2106,"['44114', '50630']"
770000443497,G2106,['72148']
770000443508,G2106,['44114']
770000443826,G2106,['59']
770000443883,G21050102,"['47772', '72631', '94401']"
770000444124,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000444410,G21050102,"['63104', '76120']"
770000444587,G21050102,['58691']
770000444599,G21050102,['58691']
770000445060,G2110,"['67232', '47245', '78951', '48556', '83780', '73082']"
770000445065,G210511,['59541']
770000445125,G21050102,['59541']
770000445340,G21050102,"['69472', '60696', '52706']"
770000445437,G21050102,['71644']
770000445461,G210402,"['44114', '7130091442', '69357']"
770000445474,G21050102,"['59541', '58691', '52095', '76120', '47772', '60519']"
770000445741,G21050102,"['76925', '58691', '66005', '108667']"
770000445758,G21050301,"['75815', '68501', '75422', '71605', '23288', '94293']"
770000445824,G210402,"['104734', '51983', '58060', '83996', '94401', '74111', '104735']"
770000446408,G210470,"['67232', '63470', '52264', '83780', '61561', '26107']"
770000447256,G2106,['40194']
770000447518,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000447555,G210502,"['95672', '58691', '76120', '72148', '47772', '60519']"
770000447881,G21040101,"['44114', '27645']"
770000448099,G2110,"['67232', '52264', '78951', '48556', '73082', '102775']"
770000448322,G2106,"['63104', '69418', '59541', '58464', '58691', '58857', '94990', '72148', '47772']"
770000448418,G21050101,"['59541', '58691', '61448', '76925', '47772']"
770000448419,G21050101,"['59541', '47772', '58691']"
770000448529,G21050102,['63104']
770000448530,G21050102,['63104']
770000448699,G210502,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000448735,G210502,"['59541', '58691', '52095', '61448', '47772']"
770000448960,G21050102,['58691']
770000448963,G210502,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000448965,G21050102,"['76925', '58691', '66005', '108667']"
770000448968,G21050102,['60519']
770000449157,G210502,"['59541', '61448', '47772', '58691']"
770000449160,G210502,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000449162,G21050102,"['59541', '58691', '61448', '76925', '47772']"
770000449575,G21050102,['52095']
770000449600,G21050102,"['75815', '58691', '61448', '94767', '94293', '52095', '66005', '40661']"
770000449602,G21050102,['58691']
770000449978,G21050301,"['63104', '69418', '58464', '72148', '40661']"
770000450361,G210511,"['93361', '94501', '62488', '73082', '47772', '94401']"
770000450366,G21050102,['7140708705']
770000450369,G21050102,"['61448', '52095']"
770000450493,G2109,"['60519', '97586']"
770000450920,G210502,"['59541', '58746', '88486', '58464', '58691', '52095', '115124', '60070', '61448', '76925', '47772', '25890', '40661', '103322']"
770000451540,G2106,"['57466', '51001', '49306', '44284']"
770000451849,G21050102,['59541']
770000452534,G21050301,['77252']
770000452679,G21050102,['58691']
770000452850,G2106,['97158']
770000453109,G21050102,"['59541', '58691', '52095', '76120', '83996', '47772', '60519']"
770000453357,G21050301,"['68501', '62752', '55137', '23288', '94293']"
770000453827,G210402,['43556']
770000453907,G21050101,['58691']
770000454126,G21050102,"['63104', '59541', '86311', '97586', '52095', '104734', '51983', '76120', '83996', '47772', '60519', '94401', '104735']"
770000454131,G21050102,"['63104', '59541', '86311', '58691', '52095', '76120', '47772', '60519', '39936']"
770000454263,G21050102,['59541']
770000454486,G210404,"['104734', '51983', '83996', '94401', '104735']"
770000454610,G21050102,"['73073', '98429', '48185', '74111']"
770000454849,G2110,['7166930275']
770000455541,G210511,"['58691', '27645']"
770000455624,G210511,['59541']
770000456047,G21050102,"['104795', '63104', '59541', '66005', '58691', '52095', '104734', '51983', '61448', '25890', '76120', '83996', '47772', '60519', '94401', '40661', '104735']"
770000456167,G21050102,"['58691', '66005', '40661']"
770000456168,G21050102,"['58691', '66005', '40661']"
770000456169,G21050102,"['63104', '59541', '58691', '52095', '61448', '76120', '83996', '76925', '47772', '60519', '103322']"
770000456369,G210511,"['89499', '94401', '58691', '104143', '111892', '66005', '40661']"
770000456443,G210504,['59541']
770000456493,G21050101,"['73668', '73073', '104734', '51983', '85862', '83996', '94401']"
770000456499,G21040101,['7130091442']
770000456593,G21050101,['50630']
770000457074,G21050102,"['59541', '58691', '61448', '76925', '47772']"
770000457308,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000457803,G2109,['50630']
770000458053,G21050102,"['59541', '52095', '47772', '60519']"
770000458056,G2106,"['69418', '86311', '59541', '58691', '60519', '25890']"
770000458089,G2106,"['59541', '60519']"
770000458164,G21050102,"['63104', '59541', '86311', '97586', '60519', '58857', '47772', '76120', '52095', '25890', '94293']"
770000458165,G21050102,"['59541', '86311', '97586', '58691', '104143', '47772', '76120', '76925', '52095', '60519', '66005', '40661']"
770000458703,G21050102,"['59541', '47772', '60519', '76120']"
770000458705,G21050102,"['61448', '59541', '58691']"
770000460754,G210502,['66005']
770000461461,G210402,"['23472', '83996', '96318', '94293', '109587']"
770000461597,G210402,['7138603783']
770000461728,G2106,"['76925', '69418', '66005', '84530']"
770000461759,G21050102,"['59541', '97586', '52095', '47772', '60519']"
770000462373,G21050301,['86400']
770000462399,G21050102,"['63104', '59541', '58691', '52095', '76120', '108667', '76925', '47772', '60519', '66005', '40661']"
770000462405,G21050102,"['63104', '59541', '58691', '52095', '76120', '83996', '47772', '60519', '66005', '40661']"
770000462407,G21050102,"['63104', '59541', '66005', '94501', '58691', '52095', '58857', '76120', '83996', '23288', '47772', '60519', '94293', '40661']"
770000462509,G210402,"['25471', '23472', '62488', '79691', '73073', '96542', '72222', '83996']"
770000462572,G210402,"['62488', '75313', '94293']"
770000462601,G2106,"['69418', '47772']"
770000462793,G21050102,"['63104', '59541', '58691', '54948', '60519', '47772', '76120', '73082', '52095', '25890', '66005', '40661']"
770000462812,G21050102,['59541']
770000462946,G21040101,['96633']
770000463145,G2109,"['52509', '68128', '76351', '68969']"
770000463381,G21050102,"['63104', '75815', '59541', '62488', '58691', '52095', '109173', '58857', '61448', '25890', '72164', '83996', '76120', '47772', '60519']"
770000463673,G2110,"['91153', '7139205958']"
770000463837,G21050102,"['59541', '52095', '60519', '76120', '83996', '47772', '25890']"
770000464100,G210502,"['58691', '54948', '84530', '108667', '76925', '66005', '40661']"
770000464101,G210502,"['76925', '58691', '66005', '108667']"
770000464608,G210507,['24376']
770000464643,G21050102,['63104']
770000464700,G210470,"['73073', '65186', '84828']"
770000465114,G2106,"['69418', '94293']"
770000465146,G2106,['58464']
770000465147,G2106,"['76925', '69418', '66005', '84530']"
770000465600,G210402,"['59541', '97586', '76120', '83996', '47772', '60519']"
770000465607,G21050102,"['63104', '59541', '67598', '54948', '52095', '60519', '58857', '22722', '83996', '76925', '47772', '25890', '66005']"
770000465608,G21050102,"['63104', '59541', '58691', '60519', '47772', '76120', '108667', '52095', '25890', '66005']"
770000465621,G2109,"['52509', '76351', '68969']"
770000465628,G21050301,"['75815', '68501', '75422', '71605', '23288', '94293']"
770000466069,G21050102,"['58691', '76925', '52095', '66005', '40661']"
770000466074,G21050102,"['59541', '97586', '58691', '76120', '47772', '60519', '66005', '40661']"
770000466218,G210402,"['25471', '23472', '62488', '73073', '83996']"
770000466220,G210402,['94293']
770000466235,G21050102,['58691']
770000466352,G21050101,['59541']
770000466440,G2106,['73273']
770000466579,G21050101,['59541']
770000466580,G21050102,"['59541', '27645']"
770000466591,G2106,"['72148', '69418', '58464', '40661']"
770000466657,G21050102,['59541']
770000466659,G21050102,"['59541', '58691', '61448', '47772', '76925', '52095']"
770000466681,G210402,['7175108163']
770000467042,G21050102,"['104795', '59541', '66005', '112848', '58691', '104143', '83996', '51983', '111892', '94990', '47772', '76120', '73082', '76925', '52095', '25890', '94401', '40661']"
770000467099,G21050102,"['104143', '51983', '76925', '60519', '25890', '104795', '59541', '58691', '111892', '76120', '73082', '83996', '52095', '66005', '94990', '47772', '40661', '112848', '63104', '94401']"
770000467122,G210402,"['23472', '83996', '86060', '107737', '94293', '109587']"
770000467130,G21040101,"['86060', '96633']"
770000467223,G2106,"['69418', '59541', '60519', '83996']"
770000467284,G21050102,['58691']
770000467294,G21050102,"['59541', '50615', '27645']"
770000467295,G21050102,['59541']
770000467346,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000467376,G21040101,['7140707555']
770000467525,G21050102,['63104']
770000467527,G21050102,"['63104', '59541', '52095', '76120', '47772', '60519']"
770000467547,G21050102,['63104']
770000467548,G21050102,"['63104', '59541', '58691', '52095', '76120', '73082', '47772', '60519']"
770000467574,G21050102,['60519']
770000467757,G21050102,['59541']
770000467890,G21050102,"['73073', '63379', '85147', '92855', '44403', '59196']"
770000468081,G210512,['39295']
770000468133,G21050102,"['104795', '51983', '58060', '94990', '104735']"
770000468136,G210502,"['86311', '58691', '60519', '47772', '76120', '52095', '25890']"
770000468143,G21050102,['27605']
770000468360,G21050102,"['104795', '59541', '66005', '112848', '58691', '52095', '104143', '51983', '111892', '94990', '83996', '76925', '47772', '94401', '40661']"
770000468793,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000469126,G2110,['56600']
770000469408,G21050102,['58691']
770000469472,G210511,['59541']
770000469775,G21050301,"['75815', '68501', '75422', '71605', '23288', '94293']"
770000469776,G21050301,"['78233', '75815', '68501', '44826', '40222', '75422', '51397', '62752', '69573', '87838', '71605', '23288', '94293']"
770000469957,G210402,"['62488', '7175110419']"
770000469960,G210502,"['27645', '47772', '39295']"
770000470000,G210402,"['62488', '7175110419', '72222']"
770000470005,G210402,"['23472', '62488', '73073', '75313', '51983', '58060', '94990', '83996', '94401']"
770000470008,G210402,['62488']
770000470068,G210502,['59541']
770000470114,G21050102,['59541']
770000470250,G2107,['50630']
770000470255,G21050102,['59541']
770000470281,G210502,"['27645', '59541', '39295']"
770000470295,G21050102,['59541']
770000470299,G21050102,['59541']
770000470310,G210502,['58691']
770000470466,G21050370,"['39295', '50630']"
770000470472,G21050101,['47772']
770000470596,G210402,"['91391', '62488', '96542', '73073', '79691', '72222', '69573', '83996', '94293']"
770000470598,G210402,"['91391', '62488', '79691', '73073', '96542', '72222', '7166930543', '83996', '94293']"
770000470601,G210402,"['23472', '62488', '96624', '73073', '66923', '69573', '83996', '86060', '107737', '94293', '109587']"
770000470720,G210502,"['73073', '54936', '65186']"
770000470937,G21050102,['37571']
770000471264,G21040101,['96633']
770000471590,G210402,"['53891', '62488', '96542', '94401', '75290', '104734', '69573', '72222', '83996', '103704', '7175108163', '94293', '104735']"
770000471592,G210402,['7120003994']
770000471595,G210402,"['91391', '62488', '79691', '73073', '96542', '72222', '83996']"
770000471603,G210402,"['96318', '23472', '25471', '62488', '73073', '83996', '86060', '94293', '109587']"
770000471959,G21040101,['23472']
770000471960,G21040101,"['23472', '91391', '62488', '79691', '73073', '96542', '103684', '72222', '83996', '103704', '94293']"
770000471961,G21040101,['23472']
770000472154,G21050102,['58691']
770000472180,G2106,['63379']
770000472214,G210502,"['59541', '58691', '52095', '61448', '47772']"
770000472215,G21050370,"['72148', '69418', '58464']"
770000472524,G21050103,['27605']
770000472530,G21050101,"['59541', '58691', '7140704983', '39285', '47772']"
770000472534,G2106,"['63104', '69418', '59541', '58464', '39285', '72148', '40661']"
770000472538,G210402,"['23472', '79691', '69573', '103704', '107737', '94293']"
770000472601,G21050102,['59541']
770000472604,G21050101,"['104795', '104734', '51983', '83996', '94401', '104735']"
770000472615,G21050101,"['76925', '59541', '58691', '47772']"
770000472627,G21050102,['61448']
770000472841,G210502,['50615']
770000472959,G2106,"['67598', '54948', '22722', '84530', '76925', '47772', '66005']"
770000473018,G2106,['69418']
770000473120,G2106,"['73073', '44403', '63379', '99932']"
770000473255,G21040101,['7130091442']
770000473279,G21050102,['52095']
770000473289,G2106,['66005']
770000473476,G210402,"['96318', '23472', '96633', '83996', '86060', '107737', '94293', '109587']"
770000473952,G21050101,['7175110267']
770000474114,G21050102,['59541']
770000474116,G210516,['59']
770000474183,G21050102,['58691']
770000474195,G21050102,"['59541', '59']"
770000474423,G21050102,['58691']
770000474457,G2106,"['69418', '73636', '79691', '58691', '104143', '103684', '94293', '76925', '86060', '75551', '66005']"
770000474902,G210402,['96542']
770000474903,G210402,"['25471', '23472', '62488', '73073', '69573', '83996', '94293']"
770000474913,G21050301,"['75815', '68501', '75422', '71605', '23288', '94293']"
770000475316,G2110,['52264']
770000475651,G2106,"['63104', '69418', '59541', '58464', '72148', '40661']"
770000475704,G21040101,"['104734', '51983', '96633', '94990', '83996', '104735']"
770000476076,G2106,"['63104', '69418', '72148']"
770000476135,G21050102,['7140708705']
770000476823,G2110,['67232']
770000477080,G210402,"['23472', '53891', '75290', '96633', '83996', '86060', '107737', '94293', '109587']"
770000477085,G210402,"['23472', '79691', '72222', '83996', '103704', '107737', '94293']"
770000477133,G210502,"['59541', '58691', '61448', '76925', '47772']"
770000477329,G210402,"['62488', '51983', '69573', '7166902059', '94767', '92706', '94293', '68501', '83996', '7166900936', '7160000059', '23472', '73073', '72222', '58060', '94990', '7175108163', '62752', '7166930275', '94401']"
770000477330,G210402,"['75290', '7140703566', '50630', '53891']"
770000477828,G210502,"['76120', '83996']"
770000477838,G21050101,"['59541', '58691', '54948', '72148', '47772', '40661']"
770000478000,G21050102,"['59541', '27645', '58691', '52095', '104143', '54948', '76925', '47772', '60519', '66005', '40661']"
770000478001,G21050102,"['58691', '76925', '52095', '66005', '40661']"
770000478004,G21050102,"['59541', '86311', '97586', '58691', '54948', '47772', '76120', '76925', '52095', '60519', '66005', '40661']"
770000478102,G210402,"['104734', '51983', '58060', '83996', '94401', '74111', '104735']"
770000478180,G210502,"['87239', '42935', '67969', '74111']"
770000478350,G2104,['59']
770000478402,G2109,['52509']
770000478444,G210502,['76120']
770000479135,G2106,['57650']
770000479156,G2106,"['79691', '69418', '86060']"
770000479237,G2110,['78951']
770000479335,G21050101,"['59541', '47772', '58691']"
770000479362,G21050102,"['63104', '86311', '59541', '58691', '52095', '61448', '76120', '76925', '47772', '60519', '39936', '103322']"
770000479464,G21050102,['59541']
770000479467,G210511,"['59541', '96633']"
770000479714,G21050102,['58691']
770000479779,G21050102,['52095']
770000479790,G2106,['64025']
770000479857,G21050102,['59541']
770000479890,G21050101,['63379']
770000480013,G21050102,"['61448', '52095', '47772']"
770000480189,G21050102,"['104795', '59541', '60519', '51983', '111892', '94990', '83996', '47772', '25890', '94401', '112848']"
770000480285,G210502,['59541']
770000480522,G2110,['50630']
770000480699,G21050102,"['61448', '47772']"
770000480761,G210511,"['72631', '94401']"
770000480842,G210513,['47772']
770000480845,G210513,"['47772', '58691']"
770000480847,G210513,"['73073', '58691', '72631', '47772', '94401']"
770000480849,G210513,"['47772', '58691']"
770000481086,G2110,['78154']
770000481122,G2110,"['57299', '78154', '41310', '97686', '72631', '73082', '56600', '15985', '74111']"
770000481260,G210402,"['23472', '83996', '86060', '107737', '94293', '109587']"
770000481262,G2109,"['23288', '68501', '94293']"
770000481387,G210502,['58691']
770000481607,G210502,"['104143', '60519']"
770000482016,G21050102,"['101245', '76338', '66372']"
770000482079,G210402,"['23472', '62488', '79691', '73073', '107737', '72222', '85794', '83996', '103704', '75551', '94293']"
770000482256,G2110,"['67232', '63470', '52264', '83780', '26107', '48556', '73082', '78951']"
770000482345,G210511,['59541']
770000482595,G21050102,"['104795', '59541', '66005', '112848', '58691', '54948', '51983', '111892', '94990', '76120', '83996', '47772', '60519', '94401', '40661']"
770000482935,G210403,"['107737', '94293', '83996']"
770000482940,G2106,"['86311', '59541', '25890', '47772', '60519']"
770000483943,G210511,['59541']
770000483987,G21050102,['59541']
770000483998,G210470,"['62488', '7139206814', '83996']"
770000484000,G210470,['62488']
770000484002,G21050102,['59541']
770000484287,G210511,"['47772', '94293']"
770000484568,G2110,['56600']
770000484965,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000485157,G21050102,"['98249', '52095']"
770000485252,G2106,"['69418', '59541', '86311', '25890', '84530', '76925', '60519', '66005']"
770000485290,G2109,"['73073', '55476', '93259', '65678']"
770000485554,G2109,"['98235', '68501', '23288', '83996']"
770000485556,G2106,"['69418', '50630']"
770000485601,G210512,['59541']
770000485616,G2106,['61285']
770000485620,G2106,['61285']
770000485703,G210511,"['101382', '94293', '51983']"
770000485705,G210511,"['101382', '94293', '51983']"
770000485818,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772']"
770000485842,G21050101,"['59541', '58691', '104734', '51983', '76925', '47772', '94401', '104735']"
770000485867,G21050102,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
770000485872,G21050102,"['59541', '58691', '61448', '76925', '47772']"
770000485889,G21050102,"['59541', '58691', '61448', '76925', '47772']"
770000486066,G21050102,['37571']
770000486076,G21050102,['59541']
770000486105,G21050102,['59541']
770000486634,G21050102,"['59541', '27645']"
770000486640,G2106,"['69418', '58691', '104143', '76925', '40661']"
770000486866,G210402,"['96542', '94293']"
770000486877,G21050102,['50630']
770000486883,G210402,"['62488', '92706', '94293']"
770000486914,G210402,"['23472', '62488', '96542', '79691', '72222', '83996', '103704', '107737', '94293']"
770000486920,G210402,['7139206814']
770000486921,G210402,"['91391', '62488', '79691', '73073', '96542', '72222', '83996']"
770000486956,G21050102,['59541']
770000487122,G210502,"['73636', '47772', '94293']"
