Материал,Класс,Поставщики
1165912,G21040101,"['104735', '94990', '104734', '51983']"
1165915,G21040101,"['104735', '94990', '104734', '51983']"
1165929,G21040101,"['104734', '51983', '94990', '83996', '104735']"
1165939,G21040101,['83996']
1165946,G21040101,"['72631', '94401']"
1166047,G21040101,"['73636', '25471', '23472', '62488', '96542', '73073', '72222', '83996']"
1166050,G21040101,"['106015', '45110', '111427', '111553']"
1166052,G21040101,"['23472', '62488', '96542', '79691', '83996', '103704']"
1167016,G2170,['91364']
1167123,G210402,"['86060', '94293', '83996']"
1167129,G210402,['83996']
1167133,G210402,"['107737', '83996']"
1167141,G210402,"['86060', '94293', '83996']"
1167143,G210402,['83996']
1167200,G210402,"['75815', '23472', '96624', '79691', '73073', '90622', '72222', '72164', '83996', '103704', '107737', '94293', '74111']"
1167203,G210402,"['23472', '79691', '72222', '83996', '103704', '86060', '107737', '94293']"
1167218,G210402,"['23472', '73073', '104734', '51983', '58060', '94990', '83996', '94401']"
1167220,G210402,"['23472', '73073', '104734', '51983', '58060', '94990', '83996', '94401']"
1167224,G210402,"['96318', '109587', '23472', '73073', '104734', '72164', '94293', '83996', '103704', '86060', '107737', '94401', '104735']"
1167226,G210402,['103704']
1167228,G210402,['7175108336']
1167231,G210402,"['62488', '51983', '94293', '74111', '79691', '83996', '86060', '75551', '23472', '96542', '73073', '104734', '96633', '58060', '94990', '104735', '96318', '107737', '94401']"
1167233,G210402,"['7175101510', '23472', '62488', '79691', '96542', '104734', '72222', '94293', '83996', '103704', '107737', '94401', '104735']"
1167277,G210402,"['75815', '79691', '90622', '83996', '103704', '107737', '74111']"
1167279,G210402,"['86060', '107737', '94293', '83996']"
1167281,G210402,"['72164', '83996', '86060', '107737', '94293']"
1167347,G210402,"['23472', '79691', '72222', '83996', '103704', '86060', '107737', '94293', '109587']"
1167351,G210402,"['94767', '94293']"
1167355,G210402,"['23472', '83996', '86060', '107737', '94293', '109587']"
1167357,G210402,"['25471', '91391', '62488', '96542', '73073', '23472', '79691', '107737', '72222', '83996', '103704', '86060', '75551', '94293', '43556', '109587']"
1167359,G210402,"['25471', '91391', '62488', '96542', '73073', '23472', '79691', '107737', '72222', '83996', '103704', '86060', '75551', '94293', '109587']"
1167361,G210402,"['25471', '91391', '62488', '96542', '73073', '23472', '107737', '83996', '86060', '75551', '94293', '109587']"
1167363,G210402,"['23472', '83996', '86060', '107737', '94293', '109587']"
1167366,G210402,"['104734', '51983', '58060', '83996', '94401', '74111', '104735']"
1167374,G210402,['96624']
1167378,G210402,"['96318', '66372', '23472', '62488', '79691', '73073', '103704', '104734', '7166930275', '58060', '72164', '104735', '83996', '94293', '86060', '107737', '94401', '7166900936']"
1167380,G210402,"['96318', '23472', '83996', '86060', '107737', '94293']"
1167386,G210402,"['23472', '62488', '79691', '73073', '96542', '72222', '83996', '103704', '7166900936']"
1167389,G210402,"['23472', '62488', '96542', '79691', '83996', '103704']"
