Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
8536.0,770001135944,Кабель ИнСил-ОЭвзнг(А)-FRLS 2х2х1 С,КМ,0.58,6,2023,1,2023-06-16,20000052.0,939105.06,,11403483,40,2023-01-09,1
39295.0,770000283200,Провод СИП-3 1х120-20,КМ,4.33,6,2023,1,2023-06-01,20000447.0,135866.45,Прочие закупки,11404891,50,2023-01-12,1
64025.0,770000592527,Кабель Скаб 660нг(А)-FRHF-ХЛ 2х2х1л,КМ,0.29,6,2023,1,2023-06-28,20002373.0,425861.77,Прочие закупки,11405352,130,2023-01-13,1
62176.0,770000482345,"Провод ПуГВ 1х1,5(PE)-450/750",КМ,0.1,6,2023,1,2023-06-08,20000999.0,57537.32,Конкурентный отбор,11405635,250,2023-01-14,1
62176.0,770001095955,Провод ПуГВ 1х35(PE)-450/750В,КМ,0.25,6,2023,1,2023-06-08,20000999.0,698381.75,Конкурентный отбор,11405635,260,2023-01-14,1
62176.0,770000595453,Провод ПуГВ 1х50(РЕ)-450/750,КМ,0.1,6,2023,1,2023-06-08,20000999.0,949927.63,Конкурентный отбор,11405635,270,2023-01-14,1
62176.0,770000480699,"Кабель ВВГ-П 3х1,5ок(N,PE)-0,66 кВ",КМ,0.8,6,2023,1,2023-06-08,20000999.0,96072.11,Конкурентный отбор,11405635,280,2023-01-14,1
62176.0,770000356507,"Кабель ВВГнг(А)-ХЛ 4х4ок(N)-0,66",КМ,0.3,6,2023,1,2023-06-08,20000999.0,436126.52,Конкурентный отбор,11405635,290,2023-01-14,1
62176.0,770001226283,Кабель гибкий КГ 3х4-660,КМ,0.9,6,2023,1,2023-06-08,20000999.0,309121.0,Конкурентный отбор,11405635,300,2023-01-14,1
62176.0,770000356674,"Кабель гибкий КГ-ХЛ 4х2,5-0,66 кВ",КМ,0.4,6,2023,1,2023-06-08,20000999.0,304033.57,Конкурентный отбор,11405635,310,2023-01-14,1
62176.0,770000483943,Провод ПуГВ-ХЛ 1х16(PE),КМ,0.25,6,2023,1,2023-06-08,20000999.0,378439.34,Конкурентный отбор,11405635,320,2023-01-14,1
62176.0,770001525822,Провод ПуГВ-ХЛ 1х70(PE)-450/750В,КМ,0.23,6,2023,1,2023-06-08,20000999.0,1414010.34,Конкурентный отбор,11405635,330,2023-01-14,1
62176.0,770001525837,"Кабель КГТП-ХЛ 3х1,5 380/660 В-2",КМ,0.6,6,2023,1,2023-06-08,20000999.0,153738.64,Конкурентный отбор,11405635,340,2023-01-14,1
