Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
8536.0,770000227942,Кабель КуПе-ОЭвзнг(А)-LS 5х2х1,КМ,1.1,12,2020,2,2020-12-20,8536.0,726381.36,Конкурентный отбор,10955953,220,2020-03-26,2
8536.0,770000925779,"Кабель КуПе-ОЭвзнг(А)-LS 5х2х2,5",КМ,1.95,12,2020,2,2020-12-20,8536.0,1328641.84,Конкурентный отбор,10955953,230,2020-03-26,2
8536.0,770000260849,"Кабель ДПО-нг(А)-HF-08У (2x4)-2,7кН",КМ,2.3,12,2020,2,2020-12-03,8536.0,66465.8,,10956225,150,2020-03-26,2
8536.0,770000573701,"Кабель НВПпнг(С)-LS 5e 4х2х0,52мм",КМ,5.186,12,2020,2,2020-12-17,8536.0,56856.19,Конкурентный отбор,10956225,160,2020-03-26,2
8536.0,770000586648,"Кабель КВВГнг(А)-FRLS 4х1,5",КМ,1.09,12,2020,2,2020-12-17,8536.0,125338.93,Конкурентный отбор,10956225,170,2020-03-26,2
8536.0,770000713694,"Кабель НВПпнг(C)-LS 2х2х0,52 мм 5е кат",КМ,2.615,12,2020,2,2020-12-17,8536.0,41219.16,Конкурентный отбор,10956225,180,2020-03-26,2
8536.0,770000931558,"Кабель КПСЭнг(А)-FRLS 1х2х0,75",КМ,4.367,12,2020,2,2020-12-17,8536.0,72582.9,Конкурентный отбор,10956225,190,2020-03-26,2
8536.0,770000936118,"Кабель ТППэп(А)-НДГ 100х2х0,5-200",КМ,0.905,12,2020,2,2020-12-11,8536.0,761403.71,Конкурентный отбор,10956225,200,2020-03-26,2
24446.0,770000641982,Кабель ТОФЛЕКС КУВЭаВнг(А)-LS 1х2х1,КМ,0.58,2,2021,1,2021-02-28,24446.0,116526.53,Конкурентный отбор,10946948,90,2020-03-02,3
24446.0,770000745332,Кабель ТОФЛЕКС КУВЭаВнг(А)-LS 12х2х1,КМ,0.25,2,2021,1,2021-02-28,24446.0,900456.62,Конкурентный отбор,10946948,100,2020-03-02,3
24446.0,770000297793,"Кабель ТОФЛЕКС КУВЭаВнг(А)-LS 7х1,5",КМ,0.66,2,2021,1,2021-02-28,24446.0,400788.84,Конкурентный отбор,10946948,110,2020-03-02,3
24446.0,770000960455,"КабельТОФЛЕКС КУВЭаВнг(А)-LS 14х1,5",КМ,0.66,2,2021,1,2021-02-28,24446.0,746481.12,Конкурентный отбор,10946948,120,2020-03-02,3
8536.0,770000908798,"КабельДПО-нг(А)-HF-08У (2х4)-1,5кН",КМ,0.59,1,2021,1,2021-01-31,8536.0,81113.2,,10947081,200,2020-03-02,3
8536.0,770000925785,"Кабель КуПе-Авзнг(А)-FRLS 1х2х1,5",КМ,0.67,1,2021,1,2021-01-31,8536.0,490925.28,Конкурентный отбор,10947081,230,2020-03-02,3
24446.0,770000701628,"Кабель ВБШвнг(А)-LS 4х10ок(N)-0,66",КМ,3.69,1,2021,1,2021-01-31,24446.0,344155.38,Конкурентный отбор,10947287,120,2020-03-02,3
24446.0,770000268093,"Кабель КВБбШвнг(А)-LS 7х1,5",КМ,3.15,1,2021,1,2021-01-31,24446.0,123217.38,Конкурентный отбор,10947287,130,2020-03-02,3
24446.0,770000973851,"Кабель ВВГнг(А)-LS 5х50мк(N,PE)-0,66",КМ,0.06,1,2021,1,2021-01-31,24446.0,2015593.92,Конкурентный отбор,10947287,140,2020-03-02,3
24446.0,770000973748,"Кабель ВВГнг(А)-LS 5х10ок(N,PE)-0,66",КМ,0.09,1,2021,1,2021-01-31,24446.0,528612.7,Конкурентный отбор,10947287,150,2020-03-02,3
8536.0,770000908798,"КабельДПО-нг(А)-HF-08У (2х4)-1,5кН",КМ,1.0,1,2021,1,2021-01-31,8536.0,81113.2,,10947858,240,2020-03-03,3
8536.0,770000925785,"Кабель КуПе-Авзнг(А)-FRLS 1х2х1,5",КМ,1.35,1,2021,1,2021-01-31,8536.0,490925.28,Конкурентный отбор,10947858,290,2020-03-03,3
39295.0,770000849911,"Кабель КВВГнг(А)-LS-ХЛ 4х1,5",КМ,2.8,1,2021,1,2021-01-31,20000447.0,63043.31,Конкурентный отбор,10951615,140,2020-03-13,3
39295.0,770000849911,"Кабель КВВГнг(А)-LS-ХЛ 4х1,5",КМ,2.8,2,2021,1,2021-02-28,20000447.0,63043.31,Конкурентный отбор,10951615,150,2020-03-13,3
