Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
44114.0,770000794338,"Кабель ИнСил-ОЭКнг(А)-LS-АХЛ 1х2х1,0-660",КМ,0.288,8,2020,2,2020-08-05,20001123.0,536831.68,Конкурентный отбор,10937371,2270,2020-02-01,1
44114.0,770000607731,"Кабель ИнСил-ОЭзнг(А)-LS-ХЛ 1х2х1,0-660",КМ,0.041,8,2020,2,2020-08-05,20001123.0,299584.8,Конкурентный отбор,10937371,2290,2020-02-01,1
44114.0,770000874938,Кабель ИнСил-ОЭКвнг(А)-LS-АХЛ 2х2х1-660,КМ,0.338,8,2020,2,2020-08-05,20001123.0,733459.98,Конкурентный отбор,10937371,2280,2020-02-01,1
44114.0,770000697184,"Кабель ИнСил-ОЭзнг(А)-FRLS-ХЛ 4х1,0-660",КМ,0.041,8,2020,2,2020-08-05,20001123.0,780887.22,Конкурентный отбор,10937371,2300,2020-02-01,1
39295.0,770000872682,Кабель ВБШвнг(А)-ХЛ 3х185мс-6,КМ,0.5,7,2020,2,2020-07-31,20000447.0,4136400.0,Конкурентный отбор,10937719,70,2020-02-03,1
39295.0,770000872789,Кабель ВБШвнг(А)-ХЛ 3х50мк-6,КМ,3.2,7,2020,2,2020-07-31,20000447.0,1320000.0,Конкурентный отбор,10937719,80,2020-02-03,1
27645.0,770000607790,"Кабель ИнСил-ОЭзнг(А)-LS-АХЛ 6х2х1,0-660",КМ,0.455,7,2020,2,2020-07-31,20001633.0,1124333.23,,10938155,320,2020-02-04,1
27645.0,770000607773,"Кабель ИнСил-ОЭзнг(А)-LS-АХЛ 5х2х1,0-660",КМ,0.385,7,2020,2,2020-07-31,20001633.0,966526.8,,10938155,330,2020-02-04,1
27645.0,770000853293,"Кабель ИнСил-ОЭКнг(А)-LS-АХЛ 7х1,0-660",КМ,0.21,7,2020,2,2020-07-31,20001633.0,833741.7,,10938155,340,2020-02-04,1
75006.0,770000261425,Зажим СИЗ 4мм (Р-72) EKF/plc-cc-4,ШТ,100.0,7,2020,2,2020-07-23,20000974.0,5.4,,10938172,90,2020-02-04,1
24446.0,770000868418,Кабель ДКН-7-6z-4/24,КМ,2.0,7,2020,2,2020-07-16,24446.0,117456.0,,10940173,850,2020-02-10,1
39295.0,770000122449,Кабель ВБШвнг(А) 4х6ок(N)-1,КМ,6.57,8,2020,2,2020-08-31,20001046.0,211200.0,Конкурентный отбор,10937790,230,2020-02-03,2
27645.0,770000476823,Кабель TSL-15F,КМ,0.061,8,2020,2,2020-08-31,20001633.0,784569.31,,10938155,370,2020-02-04,2
27645.0,770000476823,Кабель TSL-15F,КМ,0.05,8,2020,2,2020-08-31,20001633.0,827848.0,,10938155,380,2020-02-04,2
27645.0,770000898550,Кабель TSL-33F,КМ,0.032,8,2020,2,2020-08-31,20001633.0,982048.0,,10938155,390,2020-02-04,2
27645.0,770000898567,Кабель TSL-25F,КМ,0.142,8,2020,2,2020-08-31,20001633.0,633075.05,,10938155,400,2020-02-04,2
27645.0,770000898573,Кабель TSS-15F,КМ,0.112,8,2020,2,2020-08-31,20001633.0,1040186.86,,10938155,410,2020-02-04,2
27645.0,770000898550,Кабель TSL-33F,КМ,0.025,8,2020,2,2020-08-31,20001633.0,1496820.0,,10938155,420,2020-02-04,2
27645.0,770000898550,Кабель TSL-33F,КМ,0.113,8,2020,2,2020-08-31,20001633.0,943222.69,,10938155,430,2020-02-04,2
24446.0,770000830390,Кабель нг(А)-LS 1х3х1 ВЭ,КМ,0.035,8,2020,2,2020-08-30,24446.0,168625.46,Конкурентный отбор,10940173,420,2020-02-10,2
24446.0,770000830403,Кабель нг(А)-LS 4х3х1 ЭВЭ,КМ,0.255,8,2020,2,2020-08-30,24446.0,391766.14,Конкурентный отбор,10940173,430,2020-02-10,2
24446.0,770000875068,Кабель ВВГнг(А)-LS 5х150-1,КМ,0.094,8,2020,2,2020-08-30,24446.0,5317981.18,Конкурентный отбор,10940173,880,2020-02-10,2
24446.0,770000874001,Кабель ВЭБШвнг(А)-LS 4х95мс(N)-1,КМ,0.02,8,2020,2,2020-08-30,24446.0,4813639.54,Конкурентный отбор,10940173,890,2020-02-10,2
24446.0,770000872123,Кабель ВЭБШвнг(А)-LS 4х240мс(N)-1,КМ,1.8,8,2020,2,2020-08-30,24446.0,6526385.87,Конкурентный отбор,10940173,900,2020-02-10,2
24446.0,770000099722,"Кабель КВВГнг(А)-LS 5х1,5",КМ,0.52,8,2020,2,2020-08-30,24446.0,90018.02,Конкурентный отбор,10940173,910,2020-02-10,2
24446.0,770000274443,"Кабель КВВГнг(А)-LS 10х1,5",КМ,0.26,8,2020,2,2020-08-30,24446.0,172366.96,Конкурентный отбор,10940173,920,2020-02-10,2
24446.0,770000380965,"Кабель КВБбШвнг(А)-LS 14х1,5",КМ,1.8,8,2020,2,2020-08-30,24446.0,236063.76,Конкурентный отбор,10940173,930,2020-02-10,2
24446.0,770000737390,"Кабель ВБШвнг(А)-LS 5х4ок(N,PE)-1",КМ,0.075,8,2020,2,2020-08-30,24446.0,368191.07,Конкурентный отбор,10940173,940,2020-02-10,2
