Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
44114.0,770001318140,Провод ПуГВ-ХЛ 1х6 з-ж,КМ,0.524,1,2025,1,2025-01-31,20000257.0,220332.01,,11624676,140,2024-04-01,
44114.0,770001318140,Провод ПуГВ-ХЛ 1х6 з-ж,КМ,0.42,1,2025,1,2025-01-31,20000257.0,190954.4,,11624676,200,2024-04-01,
50630.0,770000568321,Провод ПуГВнг(А)-LS 1х25 з-ж,КМ,0.15,8,2024,2,2024-08-24,20000734.0,237888.0,,11625397,20,2024-04-01,100000760018.0
27605.0,770000872682,Кабель ВБШвнг(А)-ХЛ 3х185мс-6,КМ,0.855,5,2024,1,2024-05-13,20001013.0,5972400.0,,11625868,10,2024-04-01,
78154.0,770001534234,"Кабель ВВГнг(A)-LS 3х1,5ок-1",КМ,0.1,7,2024,2,2024-07-31,20001078.0,81496.0,,11625929,60,2024-04-01,100000753761.0
78154.0,770001757817,"Кабель ВВГнг(A)-LS 3х2,5-1",КМ,0.08,7,2024,2,2024-07-31,20001078.0,124582.0,,11625929,170,2024-04-01,100000753761.0
78154.0,770000434863,"Кабель SkyNet/FTP 4х2х0,51 5е in/Cu",М,82.0,7,2024,2,2024-07-31,20001078.0,177.54,,11625929,210,2024-04-01,100000753761.0
