Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
27645.0,770001059030,"Кабель ВВГнг(А)-FRLS 3х1,5ок-0,66",КМ,0.2,3,2021,1,2021-03-31,20000286.0,70.8,Конкурентный отбор,10969394,2000,2020-05-01,100000444504.0
27645.0,770001059030,"Кабель ВВГнг(А)-FRLS 3х1,5ок-0,66",КМ,0.2,1,2021,1,2021-01-31,20000286.0,70.8,Конкурентный отбор,10969394,2010,2020-05-01,100000444504.0
27645.0,770000364448,"Кабель ВВГнг(А)-LS 5х4ок(N,PE)-0,66",КМ,0.3,2,2021,1,2021-02-28,20000286.0,202.8,Конкурентный отбор,10969394,2020,2020-05-01,100000444504.0
64025.0,770000940478,"Кабель КУИНнг(А) 10х1,0 ВЭм-ХЛ-УФ",КМ,0.19,11,2020,2,2020-11-30,20001295.0,943732.2,Конкурентный отбор,10969403,230,2020-05-01,100000375109.0
64025.0,770000105217,Провод ПуГВ-ХЛ 1х6,КМ,0.075,10,2020,2,2020-10-31,20001294.0,59087.46,Конкурентный отбор,10969405,1450,2020-05-01,100000356631.0
64025.0,770000903363,"Кабель ВВГ 2х6ок(N)-0,66",КМ,0.85,11,2020,2,2020-11-15,20001294.0,113132.93,Конкурентный отбор,10969405,1460,2020-05-01,100000356631.0
64025.0,770000870190,Кабель ВВГ 2х4ок(N)-1,КМ,0.55,10,2020,2,2020-10-31,20001294.0,88149.22,Конкурентный отбор,10969405,1470,2020-05-01,100000356631.0
64025.0,770000940312,"Кабель Инсил-ОЭмвзнг(А-HF-ХЛ 8х2х1,0-660",КМ,0.3,11,2020,2,2020-11-30,20001294.0,2109809.4,Конкурентный отбор,10969405,2090,2020-05-01,100000375109.0
64025.0,770000941136,"Кабель КУИНнг(А)-HF 2х2х1,0 ПЭм-ХЛ",КМ,0.34,11,2020,2,2020-11-30,20001294.0,903077.7,Конкурентный отбор,10969405,2100,2020-05-01,100000375109.0
64025.0,770000940308,"Кабель Инсил-ОЭмвзнг(А-HF-ХЛ 1х2х1,0-660",КМ,0.89,11,2020,2,2020-11-30,20001294.0,486033.48,Конкурентный отбор,10969405,2110,2020-05-01,100000375109.0
