Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.5,10,2023,2,2023-10-02,20001013.0,514062.77,Закупка у единственного поставщика,11485374,270,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.36,10,2023,2,2023-10-02,20001013.0,1085910.4,Закупка у единственного поставщика,11485374,440,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.35,10,2023,2,2023-10-02,20001013.0,560157.84,Закупка у единственного поставщика,11485374,490,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.45,10,2023,2,2023-10-02,20001013.0,861417.84,Закупка у единственного поставщика,11485374,510,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.35,10,2023,2,2023-10-02,20001013.0,1259490.72,Закупка у единственного поставщика,11485374,590,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.165,10,2023,2,2023-10-02,20001013.0,1731612.66,Закупка у единственного поставщика,11485374,600,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.58,10,2023,2,2023-10-02,20001013.0,145285.6,Закупка у единственного поставщика,11485374,640,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.6,10,2023,2,2023-10-02,20001013.0,443206.22,Закупка у единственного поставщика,11485374,650,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.56,10,2023,2,2023-10-02,20001013.0,791098.03,Закупка у единственного поставщика,11485374,700,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.63,10,2023,2,2023-10-02,20001013.0,639606.29,Закупка у единственного поставщика,11485374,750,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.775,10,2023,2,2023-10-02,20001013.0,190140.67,Закупка у единственного поставщика,11485374,780,2023-07-03,100000692760.0
27605.0,770001489844,Кабель КЕСБП-230 Келаф 3х16,КМ,0.25,10,2023,2,2023-10-02,20001013.0,798225.02,Закупка у единственного поставщика,11485374,990,2023-07-03,100000692760.0
