Материал,Класс,Поставщик,supp_lat,supp_long
770000283200,G210516,52095,53.8664,34.4478
770000283200,G210516,61448,54.1833,45.1833
770000283200,G210516,39295,61.0042,69.0019
770000283200,G210516,50630,66.0833,76.6333
770000283200,G210516,59,63.1667,75.6167
770000283200,G210516,76925,56.4464,58.9183
770000283200,G210516,47772,58.0,56.25
770000283200,G210516,73273,51.449,57.0908
770000294682,G21050102,59541,56.5,84.9667
770000294682,G21050102,27645,54.3408,73.2098
770000294682,G21050102,58691,56.8575,60.6125
770000294682,G21050102,61448,54.1833,45.1833
770000294682,G21050102,39295,61.0042,69.0019
770000294682,G21050102,47772,58.0,56.25
770000294682,G21050102,76925,56.4464,58.9183
770000294682,G21050102,52095,53.8664,34.4478
1246476,G21050102,58691,56.8575,60.6125
1246476,G21050102,73273,51.449,57.0908
770000027223,G210502,59541,56.5,84.9667
770000027223,G210502,27645,54.3408,73.2098
770000027223,G210502,58691,56.8575,60.6125
770000027223,G210502,58857,58.5811,50.5389
770000027223,G210502,39295,61.0042,69.0019
770000027223,G210502,94990,54.3408,73.2098
770000027223,G210502,83996,59.9321,30.1968
770000027223,G210502,60519,55.752,37.615
770000027223,G210502,73273,51.449,57.0908
1246476,G21050102,58691,56.8575,60.6125
1246476,G21050102,73273,51.449,57.0908
1246476,G21050102,58691,56.8575,60.6125
1246476,G21050102,73273,51.449,57.0908
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000605366,G21050102,61448,54.1833,45.1833
770000408784,G21050102,59541,56.5,84.9667
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000605366,G21050102,61448,54.1833,45.1833
770000408784,G21050102,59541,56.5,84.9667
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000605366,G21050102,61448,54.1833,45.1833
770000408784,G21050102,59541,56.5,84.9667
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000408784,G21050102,59541,56.5,84.9667
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000408784,G21050102,59541,56.5,84.9667
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000605366,G21050102,61448,54.1833,45.1833
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000605366,G21050102,61448,54.1833,45.1833
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000408784,G21050102,59541,56.5,84.9667
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000408784,G21050102,59541,56.5,84.9667
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000849763,G21050102,61448,54.1833,45.1833
770000849763,G21050102,61448,54.1833,45.1833
770000849763,G21050102,61448,54.1833,45.1833
770000849763,G21050102,61448,54.1833,45.1833
770000872381,G21050102,59541,56.5,84.9667
770000872381,G21050102,59541,56.5,84.9667
770000872393,G21050102,61448,54.1833,45.1833
770000872381,G21050102,59541,56.5,84.9667
770000872393,G21050102,61448,54.1833,45.1833
770000872393,G21050102,61448,54.1833,45.1833
770000885231,G2106,72148,56.4464,58.9183
770000885231,G2106,72148,56.4464,58.9183
770000886504,G2106,61285,55.7522,37.6156
770000886504,G2106,61285,55.7522,37.6156
770000886504,G2106,61285,55.7522,37.6156
770000572006,G2106,69418,55.7522,37.6156
770000885231,G2106,72148,56.4464,58.9183
770000485556,G2106,69418,55.7522,37.6156
770000485556,G2106,50630,66.0833,76.6333
770000885231,G2106,72148,56.4464,58.9183
770000886504,G2106,61285,55.7522,37.6156
770000886504,G2106,61285,55.7522,37.6156
770000885231,G2106,72148,56.4464,58.9183
770000885231,G2106,72148,56.4464,58.9183
770000886504,G2106,61285,55.7522,37.6156
770000495331,G21050102,59541,56.5,84.9667
770000495331,G21050102,58691,56.8575,60.6125
770000495331,G21050102,61448,54.1833,45.1833
770000495331,G21050102,59,63.1667,75.6167
770000495331,G21050102,47772,58.0,56.25
770000495331,G21050102,39295,61.0042,69.0019
770000495331,G21050102,76925,56.4464,58.9183
770000495331,G21050102,74839,56.8207,64.7718
770000495331,G21050102,52095,53.8664,34.4478
770000495331,G21050102,103322,55.4311,37.5461
770000495331,G21050102,59541,56.5,84.9667
770000495331,G21050102,58691,56.8575,60.6125
770000495331,G21050102,61448,54.1833,45.1833
770000495331,G21050102,59,63.1667,75.6167
770000495331,G21050102,47772,58.0,56.25
770000495331,G21050102,39295,61.0042,69.0019
770000495331,G21050102,76925,56.4464,58.9183
770000495331,G21050102,74839,56.8207,64.7718
770000495331,G21050102,52095,53.8664,34.4478
770000495331,G21050102,103322,55.4311,37.5461
770000495331,G21050102,59541,56.5,84.9667
770000495331,G21050102,58691,56.8575,60.6125
770000495331,G21050102,61448,54.1833,45.1833
770000495331,G21050102,59,63.1667,75.6167
770000495331,G21050102,47772,58.0,56.25
770000495331,G21050102,39295,61.0042,69.0019
770000495331,G21050102,76925,56.4464,58.9183
770000495331,G21050102,74839,56.8207,64.7718
770000495331,G21050102,52095,53.8664,34.4478
770000495331,G21050102,103322,55.4311,37.5461
1246476,G21050102,58691,56.8575,60.6125
1246476,G21050102,73273,51.449,57.0908
770000294682,G21050102,59541,56.5,84.9667
770000294682,G21050102,27645,54.3408,73.2098
770000294682,G21050102,58691,56.8575,60.6125
770000294682,G21050102,61448,54.1833,45.1833
770000294682,G21050102,39295,61.0042,69.0019
770000294682,G21050102,47772,58.0,56.25
770000294682,G21050102,76925,56.4464,58.9183
770000294682,G21050102,52095,53.8664,34.4478
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
980004700201,G210512,40194,56.5,84.9667
1246476,G21050102,58691,56.8575,60.6125
1246476,G21050102,73273,51.449,57.0908
770000294682,G21050102,59541,56.5,84.9667
770000294682,G21050102,27645,54.3408,73.2098
770000294682,G21050102,58691,56.8575,60.6125
770000294682,G21050102,61448,54.1833,45.1833
770000294682,G21050102,39295,61.0042,69.0019
770000294682,G21050102,47772,58.0,56.25
770000294682,G21050102,76925,56.4464,58.9183
770000294682,G21050102,52095,53.8664,34.4478
770000294682,G21050102,59541,56.5,84.9667
770000294682,G21050102,27645,54.3408,73.2098
770000294682,G21050102,58691,56.8575,60.6125
770000294682,G21050102,61448,54.1833,45.1833
770000294682,G21050102,39295,61.0042,69.0019
770000294682,G21050102,47772,58.0,56.25
770000294682,G21050102,76925,56.4464,58.9183
770000294682,G21050102,52095,53.8664,34.4478
1246476,G21050102,58691,56.8575,60.6125
1246476,G21050102,73273,51.449,57.0908
770000498333,G210516,59541,56.5,84.9667
770000498333,G210516,27645,54.3408,73.2098
770000498333,G210516,44114,60.1256,29.8764
770000498333,G210516,59,63.1667,75.6167
770000498333,G210516,52095,53.8664,34.4478
770000498333,G210516,73273,51.449,57.0908
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
1173420,G210512,59541,56.5,84.9667
1173420,G210512,27605,61.05,76.1
1173420,G210512,58691,56.8575,60.6125
1173420,G210512,61448,54.1833,45.1833
1173420,G210512,47772,58.0,56.25
1173420,G210512,76925,56.4464,58.9183
1173420,G210512,52095,53.8664,34.4478
770000027223,G210502,59541,56.5,84.9667
770000027223,G210502,27645,54.3408,73.2098
770000027223,G210502,58691,56.8575,60.6125
770000027223,G210502,58857,58.5811,50.5389
770000027223,G210502,39295,61.0042,69.0019
770000027223,G210502,94990,54.3408,73.2098
770000027223,G210502,83996,59.9321,30.1968
770000027223,G210502,60519,55.752,37.615
770000027223,G210502,73273,51.449,57.0908
770000027223,G210502,59541,56.5,84.9667
770000027223,G210502,27645,54.3408,73.2098
770000027223,G210502,58691,56.8575,60.6125
770000027223,G210502,58857,58.5811,50.5389
770000027223,G210502,39295,61.0042,69.0019
770000027223,G210502,94990,54.3408,73.2098
770000027223,G210502,83996,59.9321,30.1968
770000027223,G210502,60519,55.752,37.615
770000027223,G210502,73273,51.449,57.0908
770000498333,G210516,59541,56.5,84.9667
770000498333,G210516,27645,54.3408,73.2098
770000498333,G210516,44114,60.1256,29.8764
770000498333,G210516,59,63.1667,75.6167
770000498333,G210516,52095,53.8664,34.4478
770000498333,G210516,73273,51.449,57.0908
770000498333,G210516,59541,56.5,84.9667
770000498333,G210516,27645,54.3408,73.2098
770000498333,G210516,44114,60.1256,29.8764
770000498333,G210516,59,63.1667,75.6167
770000498333,G210516,52095,53.8664,34.4478
770000498333,G210516,73273,51.449,57.0908
770000498333,G210516,59541,56.5,84.9667
770000498333,G210516,27645,54.3408,73.2098
770000498333,G210516,44114,60.1256,29.8764
770000498333,G210516,59,63.1667,75.6167
770000498333,G210516,52095,53.8664,34.4478
770000498333,G210516,73273,51.449,57.0908
770000498333,G210516,59541,56.5,84.9667
770000498333,G210516,27645,54.3408,73.2098
770000498333,G210516,44114,60.1256,29.8764
770000498333,G210516,59,63.1667,75.6167
770000498333,G210516,52095,53.8664,34.4478
770000498333,G210516,73273,51.449,57.0908
770000498333,G210516,59541,56.5,84.9667
770000498333,G210516,27645,54.3408,73.2098
770000498333,G210516,44114,60.1256,29.8764
770000498333,G210516,59,63.1667,75.6167
770000498333,G210516,52095,53.8664,34.4478
770000498333,G210516,73273,51.449,57.0908
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
980004700201,G210512,40194,56.5,84.9667
980004700201,G210512,40194,56.5,84.9667
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
770000129645,G210512,58691,56.8575,60.6125
770000129645,G210512,40194,56.5,84.9667
770000605366,G21050102,61448,54.1833,45.1833
770000408784,G21050102,59541,56.5,84.9667
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000872381,G21050102,59541,56.5,84.9667
770000495331,G21050102,59541,56.5,84.9667
770000495331,G21050102,58691,56.8575,60.6125
770000495331,G21050102,61448,54.1833,45.1833
770000495331,G21050102,59,63.1667,75.6167
770000495331,G21050102,47772,58.0,56.25
770000495331,G21050102,39295,61.0042,69.0019
770000495331,G21050102,76925,56.4464,58.9183
770000495331,G21050102,74839,56.8207,64.7718
770000495331,G21050102,52095,53.8664,34.4478
770000495331,G21050102,103322,55.4311,37.5461
770000885231,G2106,72148,56.4464,58.9183
770000886504,G2106,61285,55.7522,37.6156
770000408784,G21050102,59541,56.5,84.9667
770000291257,G21050102,59541,56.5,84.9667
770000291257,G21050102,27645,54.3408,73.2098
770000291257,G21050102,39295,61.0042,69.0019
770000353601,G21050102,59541,56.5,84.9667
770000353601,G21050102,27645,54.3408,73.2098
770000353601,G21050102,57650,66.53,66.6019
770000353601,G21050102,58691,56.8575,60.6125
770000353601,G21050102,61448,54.1833,45.1833
770000353601,G21050102,47772,58.0,56.25
770000353601,G21050102,76925,56.4464,58.9183
770000353601,G21050102,52095,53.8664,34.4478
770000291259,G21050102,59541,56.5,84.9667
770000291259,G21050102,44114,60.1256,29.8764
770000291259,G21050102,58691,56.8575,60.6125
770000291259,G21050102,40194,56.5,84.9667
770000291259,G21050102,52095,53.8664,34.4478
770000291259,G21050102,61448,54.1833,45.1833
770000291259,G21050102,59,63.1667,75.6167
770000291259,G21050102,76925,56.4464,58.9183
770000291259,G21050102,47772,58.0,56.25
770000027330,G210502,59541,56.5,84.9667
770000027330,G210502,57650,66.53,66.6019
770000027329,G210502,86311,57.3689,61.4031
770000027329,G210502,59541,56.5,84.9667
770000027329,G210502,60519,55.752,37.615
770000027329,G210502,47772,58.0,56.25
770000027329,G210502,76120,56.7992,59.9169
770000027329,G210502,52095,53.8664,34.4478
770000027329,G210502,25890,55.4311,37.5461
770000872393,G21050102,61448,54.1833,45.1833
770000849763,G21050102,61448,54.1833,45.1833
770000885231,G2106,72148,56.4464,58.9183
770000886504,G2106,61285,55.7522,37.6156
770000645696,G21050102,60519,55.752,37.615
770000870706,G2106,79691,58.0483,56.595
770000870706,G2106,69418,55.7522,37.6156
770000870706,G2106,86060,55.7522,37.6156
770000870706,G2106,60519,55.752,37.615
770000685820,G210504,59541,56.5,84.9667
770000960717,G210504,59541,56.5,84.9667
770000960856,G2106,69418,55.7522,37.6156
770000960856,G2106,60519,55.752,37.615
770000717414,G21050101,44114,60.1256,29.8764
770000717414,G21050101,54948,55.7522,37.6156
770000296998,G21050102,59541,56.5,84.9667
770000849702,G21050102,52095,53.8664,34.4478
770000273338,G21050102,59541,56.5,84.9667
770000273338,G21050102,27645,54.3408,73.2098
770000273338,G21050102,58691,56.8575,60.6125
770000273338,G21050102,61448,54.1833,45.1833
770000273338,G21050102,47772,58.0,56.25
770000273338,G21050102,76925,56.4464,58.9183
770000273338,G21050102,52095,53.8664,34.4478
770000273338,G21050102,103322,55.4311,37.5461
1207533,G21050101,59541,56.5,84.9667
1207533,G21050101,76925,56.4464,58.9183
1207533,G21050101,47772,58.0,56.25
1207533,G21050101,58691,56.8575,60.6125
770000849702,G21050102,52095,53.8664,34.4478
1207533,G21050101,59541,56.5,84.9667
1207533,G21050101,76925,56.4464,58.9183
1207533,G21050101,47772,58.0,56.25
1207533,G21050101,58691,56.8575,60.6125
770000017712,G21050370,69418,55.7522,37.6156
770000017712,G21050370,66005,56.8548,35.3834
770000017712,G21050370,27645,54.3408,73.2098
770000017712,G21050370,97586,60.0922,30.2368
770000017712,G21050370,58691,56.8575,60.6125
770000017712,G21050370,104143,55.7522,37.6156
770000017712,G21050370,39295,61.0042,69.0019
770000017712,G21050370,94990,54.3408,73.2098
770000017712,G21050370,72631,54.3408,73.2098
